0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"-5.1 °C
(22.8) °F","-4.1 °C
(24.6) °F","0 °C
(32) °F","7.1 °C
(44.7) °F","13.8 °C
(56.8) °F","18.4 °C
(65.1) °F","21.1 °C
(69.9) °F","20.3 °C
(68.5) °F","16.8 °C
(62.2) °F","10.1 °C
(50.2) °F","4 °C
(39.2) °F","-1.6 °C
(29.1) °F"
Min. Temperature °C (°F),"-8.6 °C
(16.6) °F","-8 °C
(17.6) °F","-4.1 °C
(24.6) °F","2.5 °C
(36.6) °F","9.1 °C
(48.3) °F","14 °C
(57.2) °F","16.7 °C
(62) °F","16.3 °C
(61.3) °F","12.9 °C
(55.3) °F","7 °C
(44.5) °F","1.1 °C
(34.1) °F","-4.4 °C
(24.2) °F"
Max. Temperature °C (°F),"-0.9 °C
(30.3) °F","0.8 °C
(33.4) °F","5.4 °C
(41.7) °F","12.9 °C
(55.2) °F","19.3 °C
(66.7) °F","23.4 °C
(74.1) °F","26 °C
(78.8) °F","25 °C
(77.1) °F","21.6 °C
(70.9) °F","14.4 °C
(58) °F","8 °C
(46.5) °F","1.8 °C
(35.3) °F"
Precipitation / Rainfall mm (in),"83
(3)","72
(2)","94
(3)","103
(4)","97
(3)","104
(4)","101
(3)","91
(3)","103
(4)","109
(4)","92
(3)","97
(3)"
Humidity(%),74%,69%,69%,67%,69%,73%,70%,73%,74%,75%,77%,76%
Rainy days (d),11,9,10,10,10,10,9,9,8,9,10,11
avg. Sun hours (hours),3.3,4.4,5.8,7.6,9.2,10.0,10.6,9.1,7.3,5.7,4.6,3.2
