0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"1.9 °C
(35.5) °F","4.6 °C
(40.3) °F","9.5 °C
(49.1) °F","14.2 °C
(57.6) °F","19.4 °C
(66.9) °F","25.5 °C
(77.9) °F","26.5 °C
(79.7) °F","25 °C
(77) °F","21.4 °C
(70.5) °F","14.6 °C
(58.2) °F","7.7 °C
(45.8) °F","2 °C
(35.6) °F"
Min. Temperature °C (°F),"-2.9 °C
(26.8) °F","-1.2 °C
(29.8) °F","2.6 °C
(36.7) °F","6.7 °C
(44) °F","11.6 °C
(53) °F","17.4 °C
(63.4) °F","19.8 °C
(67.6) °F","18.4 °C
(65.1) °F","14.8 °C
(58.7) °F","8.5 °C
(47.3) °F","2.2 °C
(36) °F","-2.5 °C
(27.5) °F"
Max. Temperature °C (°F),"8.5 °C
(47.4) °F","12.1 °C
(53.8) °F","17.4 °C
(63.4) °F","22.3 °C
(72.1) °F","27 °C
(80.7) °F","32.8 °C
(91) °F","32.9 °C
(91.2) °F","31.4 °C
(88.4) °F","28 °C
(82.5) °F","21.6 °C
(70.8) °F","14.4 °C
(57.9) °F","8.1 °C
(46.6) °F"
Precipitation / Rainfall mm (in),"16
(0)","14
(0)","17
(0)","14
(0)","13
(0)","8
(0)","25
(0)","21
(0)","23
(0)","24
(0)","16
(0)","20
(0)"
Humidity(%),49%,41%,31%,23%,20%,18%,33%,37%,36%,38%,41%,50%
Rainy days (d),3,3,2,2,2,1,4,4,3,3,2,3
avg. Sun hours (hours),8.3,9.1,10.3,11.4,12.3,12.9,12.6,11.8,10.8,9.6,8.7,8.1
