0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"-0.3 °C
(31.5) °F","0.7 °C
(33.2) °F","4.4 °C
(39.9) °F","9.6 °C
(49.3) °F","14.2 °C
(57.6) °F","17.8 °C
(64.1) °F","19.8 °C
(67.6) °F","19.6 °C
(67.3) °F","15 °C
(59) °F","9.9 °C
(49.9) °F","5 °C
(41) °F","1.2 °C
(34.1) °F"
Min. Temperature °C (°F),"-3 °C
(26.5) °F","-2.7 °C
(27.1) °F","0.1 °C
(32.2) °F","4.2 °C
(39.5) °F","8.9 °C
(48.1) °F","12.7 °C
(54.8) °F","14.7 °C
(58.5) °F","14.6 °C
(58.2) °F","10.6 °C
(51.1) °F","6.3 °C
(43.3) °F","2.1 °C
(35.8) °F","-1.3 °C
(29.7) °F"
Max. Temperature °C (°F),"2.5 °C
(36.4) °F","4.3 °C
(39.8) °F","8.9 °C
(48) °F","14.6 °C
(58.4) °F","18.9 °C
(66.1) °F","22.3 °C
(72.1) °F","24.4 °C
(75.9) °F","24.4 °C
(75.9) °F","19.5 °C
(67.2) °F","13.9 °C
(57.1) °F","8 °C
(46.4) °F","3.8 °C
(38.8) °F"
Precipitation / Rainfall mm (in),"43
(1)","37
(1)","49
(1)","45
(1)","71
(2)","82
(3)","85
(3)","75
(2)","60
(2)","46
(1)","47
(1)","47
(1)"
Humidity(%),80%,78%,73%,66%,67%,65%,64%,63%,70%,78%,83%,81%
Rainy days (d),8,7,9,8,9,9,10,8,7,7,7,8
avg. Sun hours (hours),3.4,4.4,5.8,8.7,10.0,11.2,11.6,10.6,7.4,5.0,3.2,3.3
