0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"-3.8 °C
(25.2) °F","-3.1 °C
(26.4) °F","1.6 °C
(34.8) °F","7.8 °C
(46) °F","14.5 °C
(58.1) °F","20.7 °C
(69.2) °F","23.8 °C
(74.8) °F","23.2 °C
(73.7) °F","19.6 °C
(67.3) °F","12.7 °C
(54.8) °F","5.9 °C
(42.6) °F","-0.5 °C
(31.1) °F"
Min. Temperature °C (°F),"-6.4 °C
(20.6) °F","-6 °C
(21.3) °F","-1.1 °C
(30) °F","5 °C
(41) °F","11.6 °C
(52.8) °F","17.9 °C
(64.1) °F","21 °C
(69.9) °F","20.6 °C
(69.1) °F","16.9 °C
(62.5) °F","10.3 °C
(50.5) °F","3.7 °C
(38.6) °F","-2.7 °C
(27.2) °F"
Max. Temperature °C (°F),"-0.4 °C
(31.3) °F","0.7 °C
(33.2) °F","5.2 °C
(41.4) °F","11.7 °C
(53) °F","18.5 °C
(65.3) °F","24.3 °C
(75.8) °F","27.2 °C
(80.9) °F","26.3 °C
(79.3) °F","22.9 °C
(73.3) °F","15.9 °C
(60.6) °F","8.9 °C
(47.9) °F","2.4 °C
(36.3) °F"
Precipitation / Rainfall mm (in),"79
(3)","67
(2)","76
(2)","112
(4)","106
(4)","95
(3)","86
(3)","101
(3)","81
(3)","99
(3)","92
(3)","81
(3)"
Humidity(%),75%,74%,76%,74%,74%,73%,70%,71%,69%,69%,72%,74%
Rainy days (d),8,6,7,9,8,8,8,8,7,8,7,8
avg. Sun hours (hours),3.8,5.5,7.4,8.7,9.9,11.1,11.5,10.4,9.0,6.9,5.4,3.7
