0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"-4.4 °C
(24) °F","-2.3 °C
(27.9) °F","2.8 °C
(37.1) °F","7.6 °C
(45.7) °F","12.9 °C
(55.3) °F","19.2 °C
(66.6) °F","20.5 °C
(68.9) °F","19.2 °C
(66.5) °F","15.9 °C
(60.6) °F","9.6 °C
(49.2) °F","2.8 °C
(37) °F","-3.7 °C
(25.3) °F"
Min. Temperature °C (°F),"-10.7 °C
(12.8) °F","-8.4 °C
(16.9) °F","-3.4 °C
(25.8) °F","0.9 °C
(33.6) °F","5.6 °C
(42.1) °F","11.3 °C
(52.3) °F","13.4 °C
(56.2) °F","12.5 °C
(54.6) °F","9.5 °C
(49) °F","3.5 °C
(38.3) °F","-2.4 °C
(27.6) °F","-9 °C
(15.8) °F"
Max. Temperature °C (°F),"2.6 °C
(36.8) °F","4.4 °C
(39.9) °F","9.8 °C
(49.6) °F","15 °C
(59) °F","20.2 °C
(68.3) °F","26.6 °C
(79.8) °F","27.7 °C
(81.9) °F","26.1 °C
(79) °F","22.8 °C
(73) °F","16.4 °C
(61.5) °F","9.1 °C
(48.4) °F","2.8 °C
(37) °F"
Precipitation / Rainfall mm (in),"28
(1)","32
(1)","40
(1)","47
(1)","45
(1)","34
(1)","86
(3)","77
(3)","45
(1)","34
(1)","30
(1)","33
(1)"
Humidity(%),58%,55%,46%,37%,31%,26%,42%,45%,42%,43%,45%,57%
Rainy days (d),5,6,6,7,7,6,12,11,7,5,4,5
avg. Sun hours (hours),7.5,8.1,9.4,10.6,11.6,12.6,11.8,11.1,10.1,9.0,8.1,7.2
