0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"11.7 °C
(53.1) °F","13.6 °C
(56.5) °F","18.1 °C
(64.5) °F","22.4 °C
(72.3) °F","27.4 °C
(81.4) °F","33.2 °C
(91.8) °F","34.9 °C
(94.8) °F","34 °C
(93.3) °F","30.7 °C
(87.3) °F","24 °C
(75.2) °F","17 °C
(62.7) °F","11.1 °C
(51.9) °F"
Min. Temperature °C (°F),"4.7 °C
(40.4) °F","6.3 °C
(43.3) °F","9.6 °C
(49.3) °F","13.8 °C
(56.8) °F","18.8 °C
(65.9) °F","24.6 °C
(76.3) °F","28.2 °C
(82.8) °F","27.6 °C
(81.6) °F","23.5 °C
(74.3) °F","16.3 °C
(61.3) °F","9.7 °C
(49.5) °F","4.6 °C
(40.3) °F"
Max. Temperature °C (°F),"19.6 °C
(67.2) °F","21.4 °C
(70.4) °F","26.1 °C
(78.9) °F","30.3 °C
(86.5) °F","34.9 °C
(94.9) °F","40.5 °C
(104.9) °F","41.2 °C
(106.2) °F","40.3 °C
(104.6) °F","37.5 °C
(99.5) °F","31.3 °C
(88.4) °F","24.5 °C
(76.2) °F","18.3 °C
(65) °F"
Precipitation / Rainfall mm (in),"34
(1)","38
(1)","25
(0)","8
(0)","4
(0)","2
(0)","22
(0)","32
(1)","27
(1)","20
(0)","17
(0)","29
(1)"
Humidity(%),42%,37%,27%,18%,14%,13%,25%,28%,27%,28%,32%,47%
Rainy days (d),3,3,2,1,1,0,3,3,2,2,1,3
avg. Sun hours (hours),8.7,9.4,10.5,11.6,12.5,12.9,12.6,11.9,11.0,10.0,9.2,8.5
