0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"13.5 °C
(56.3) °F","16.9 °C
(62.4) °F","22.5 °C
(72.6) °F","29.2 °C
(84.5) °F","32.7 °C
(90.9) °F","33 °C
(91.3) °F","29.9 °C
(85.8) °F","28.7 °C
(83.7) °F","27.8 °C
(82.1) °F","25.4 °C
(77.7) °F","20.5 °C
(69) °F","15.4 °C
(59.7) °F"
Min. Temperature °C (°F),"7.7 °C
(45.8) °F","10.6 °C
(51) °F","15.2 °C
(59.4) °F","21 °C
(69.8) °F","25.3 °C
(77.6) °F","27.6 °C
(81.6) °F","26.6 °C
(79.9) °F","25.8 °C
(78.5) °F","23.9 °C
(75.1) °F","19.2 °C
(66.5) °F","14.2 °C
(57.5) °F","9.3 °C
(48.7) °F"
Max. Temperature °C (°F),"20 °C
(68) °F","23.5 °C
(74.4) °F","29.8 °C
(85.7) °F","36.7 °C
(98.1) °F","39.6 °C
(103.3) °F","38.2 °C
(100.8) °F","33.7 °C
(92.6) °F","32.3 °C
(90.1) °F","32.2 °C
(90) °F","31.8 °C
(89.3) °F","27.4 °C
(81.3) °F","22.2 °C
(72) °F"
Precipitation / Rainfall mm (in),"23
(0)","33
(1)","20
(0)","14
(0)","20
(0)","74
(2)","208
(8)","183
(7)","99
(3)","13
(0)","5
(0)","8
(0)"
Humidity(%),67%,60%,47%,29%,32%,46%,71%,77%,71%,55%,54%,61%
Rainy days (d),2,3,3,3,4,7,15,15,8,2,1,1
avg. Sun hours (hours),8.2,9.4,10.6,11.5,12.1,11.8,9.5,9.0,9.3,10.1,9.6,8.8
