0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"-3.2 °C
(26.3) °F","-2 °C
(28.4) °F","3.1 °C
(37.6) °F","7.6 °C
(45.7) °F","12.7 °C
(54.9) °F","19.5 °C
(67) °F","23.1 °C
(73.5) °F","21.6 °C
(70.8) °F","17.3 °C
(63.1) °F","9.5 °C
(49.1) °F","2.2 °C
(36) °F","-3.4 °C
(25.8) °F"
Min. Temperature °C (°F),"-8.8 °C
(16.2) °F","-8.2 °C
(17.2) °F","-4 °C
(24.9) °F","0.4 °C
(32.7) °F","5.4 °C
(41.7) °F","11.5 °C
(52.7) °F","15.3 °C
(59.5) °F","14.3 °C
(57.8) °F","10.1 °C
(50.2) °F","3.1 °C
(37.6) °F","-3.6 °C
(25.5) °F","-8.7 °C
(16.3) °F"
Max. Temperature °C (°F),"5.8 °C
(42.5) °F","7.2 °C
(45) °F","12.5 °C
(54.5) °F","16.5 °C
(61.7) °F","20.9 °C
(69.6) °F","27.7 °C
(81.9) °F","30.7 °C
(87.2) °F","29.3 °C
(84.7) °F","25.7 °C
(78.2) °F","18.5 °C
(65.3) °F","11.2 °C
(52.2) °F","5.3 °C
(41.5) °F"
Precipitation / Rainfall mm (in),"24
(0)","25
(0)","51
(2)","73
(2)","86
(3)","55
(2)","44
(1)","42
(1)","38
(1)","43
(1)","34
(1)","23
(0)"
Humidity(%),58%,55%,51%,48%,50%,42%,41%,43%,43%,49%,53%,59%
Rainy days (d),4,4,6,7,9,6,6,5,4,5,4,4
avg. Sun hours (hours),7.8,8.4,9.4,10.0,10.7,12.2,12.5,11.8,10.2,8.7,8.1,7.5
