0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"-3.3 °C
(26.1) °F","-1.6 °C
(29) °F","2.7 °C
(36.8) °F","8.7 °C
(47.6) °F","13.5 °C
(56.3) °F","16.9 °C
(62.3) °F","18.6 °C
(65.4) °F","18.6 °C
(65.4) °F","13.8 °C
(56.8) °F","8.6 °C
(47.4) °F","3.8 °C
(38.8) °F","-1.6 °C
(29.1) °F"
Min. Temperature °C (°F),"-7.2 °C
(19) °F","-6 °C
(21.2) °F","-2.2 °C
(28) °F","2.8 °C
(37) °F","7.6 °C
(45.7) °F","11.2 °C
(52.2) °F","13.1 °C
(55.5) °F","13 °C
(55.5) °F","8.8 °C
(47.8) °F","4 °C
(39.2) °F","0 °C
(32.1) °F","-5.1 °C
(22.9) °F"
Max. Temperature °C (°F),"0.9 °C
(33.7) °F","2.8 °C
(37) °F","7.4 °C
(45.3) °F","13.7 °C
(56.7) °F","18.1 °C
(64.7) °F","21.2 °C
(70.2) °F","22.9 °C
(73.3) °F","23.3 °C
(73.9) °F","18.5 °C
(65.3) °F","13.6 °C
(56.4) °F","8.4 °C
(47.1) °F","2.3 °C
(36.1) °F"
Precipitation / Rainfall mm (in),"58
(2)","59
(2)","75
(2)","101
(3)","133
(5)","153
(6)","146
(5)","121
(4)","99
(3)","72
(2)","65
(2)","69
(2)"
Humidity(%),81%,80%,75%,71%,73%,74%,75%,73%,76%,80%,81%,82%
Rainy days (d),9,9,10,12,14,13,13,11,9,8,8,9
avg. Sun hours (hours),4.5,5.0,6.8,8.6,9.8,10.3,10.4,9.8,7.7,6.3,5.6,4.4
