0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"14.6 °C
(58.3) °F","16.3 °C
(61.3) °F","20 °C
(68) °F","23 °C
(73.5) °F","27.2 °C
(80.9) °F","32.5 °C
(90.5) °F","35.5 °C
(95.9) °F","35 °C
(95.1) °F","31.5 °C
(88.6) °F","25 °C
(77) °F","18.7 °C
(65.6) °F","13.8 °C
(56.8) °F"
Min. Temperature °C (°F),"8.7 °C
(47.6) °F","9.6 °C
(49.2) °F","12.2 °C
(54) °F","14.7 °C
(58.5) °F","18.2 °C
(64.8) °F","22.8 °C
(73) °F","27.4 °C
(81.3) °F","27.3 °C
(81.2) °F","23.5 °C
(74.3) °F","17.5 °C
(63.6) °F","12.2 °C
(54) °F","8.3 °C
(46.9) °F"
Max. Temperature °C (°F),"21.7 °C
(71) °F","23.8 °C
(74.9) °F","28.4 °C
(83) °F","31.8 °C
(89.3) °F","36 °C
(96.8) °F","41.3 °C
(106.4) °F","43.1 °C
(109.6) °F","42.4 °C
(108.4) °F","39.3 °C
(102.8) °F","32.9 °C
(91.2) °F","25.9 °C
(78.6) °F","20.5 °C
(68.8) °F"
Precipitation / Rainfall mm (in),"9
(0)","12
(0)","6
(0)","2
(0)","0
(0)","0
(0)","6
(0)","10
(0)","10
(0)","5
(0)","3
(0)","9
(0)"
Humidity(%),33%,32%,26%,22%,21%,18%,25%,27%,27%,28%,31%,36%
Rainy days (d),1,2,1,0,0,0,1,2,1,1,0,1
avg. Sun hours (hours),9.0,9.7,10.7,11.6,12.4,12.8,12.6,11.9,11.1,10.1,9.3,8.8
