0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"14.9 °C
(58.7) °F","16.4 °C
(61.6) °F","20.1 °C
(68.2) °F","23.1 °C
(73.5) °F","27.2 °C
(80.9) °F","32.4 °C
(90.3) °F","35.3 °C
(95.5) °F","34.9 °C
(94.8) °F","31.4 °C
(88.6) °F","25.1 °C
(77.2) °F","18.9 °C
(66) °F","14 °C
(57.2) °F"
Min. Temperature °C (°F),"9.7 °C
(49.4) °F","10.4 °C
(50.8) °F","12.9 °C
(55.3) °F","15.2 °C
(59.3) °F","18.7 °C
(65.6) °F","23.3 °C
(74) °F","27.6 °C
(81.8) °F","27.6 °C
(81.8) °F","24 °C
(75.3) °F","18.3 °C
(64.9) °F","13.1 °C
(55.6) °F","9.2 °C
(48.6) °F"
Max. Temperature °C (°F),"21.3 °C
(70.4) °F","23.4 °C
(74.2) °F","28 °C
(82.3) °F","31.5 °C
(88.6) °F","35.6 °C
(96.1) °F","40.8 °C
(105.5) °F","42.5 °C
(108.5) °F","41.8 °C
(107.3) °F","38.8 °C
(101.9) °F","32.4 °C
(90.4) °F","25.5 °C
(77.9) °F","20.1 °C
(68.2) °F"
Precipitation / Rainfall mm (in),"9
(0)","12
(0)","6
(0)","2
(0)","0
(0)","0
(0)","6
(0)","10
(0)","10
(0)","5
(0)","3
(0)","9
(0)"
Humidity(%),32%,32%,27%,22%,21%,19%,26%,28%,27%,28%,31%,36%
Rainy days (d),1,2,1,0,0,0,1,2,1,1,0,1
avg. Sun hours (hours),9.0,9.7,10.7,11.6,12.4,12.8,12.6,11.9,11.1,10.1,9.3,8.8
