0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"-4.2 °C
(24.4) °F","-3.3 °C
(26.1) °F","1.6 °C
(35) °F","8.7 °C
(47.6) °F","15.5 °C
(59.9) °F","20.9 °C
(69.6) °F","23.4 °C
(74) °F","22.4 °C
(72.3) °F","18.8 °C
(65.8) °F","11.8 °C
(53.3) °F","5.2 °C
(41.3) °F","-0.9 °C
(30.4) °F"
Min. Temperature °C (°F),"-7.3 °C
(18.8) °F","-6.8 °C
(19.8) °F","-2.2 °C
(28) °F","4.4 °C
(40) °F","11.2 °C
(52.2) °F","16.7 °C
(62.1) °F","19.1 °C
(66.4) °F","18.5 °C
(65.3) °F","15.2 °C
(59.3) °F","8.6 °C
(47.5) °F","2.4 °C
(36.3) °F","-3.4 °C
(25.9) °F"
Max. Temperature °C (°F),"-0.3 °C
(31.4) °F","1.2 °C
(34.1) °F","6.8 °C
(44.2) °F","14 °C
(57.2) °F","20.4 °C
(68.8) °F","25.5 °C
(77.9) °F","27.8 °C
(82.1) °F","26.6 °C
(79.9) °F","23 °C
(73.4) °F","15.8 °C
(60.5) °F","8.7 °C
(47.7) °F","2.3 °C
(36.2) °F"
Precipitation / Rainfall mm (in),"67
(2)","61
(2)","67
(2)","93
(3)","94
(3)","90
(3)","83
(3)","82
(3)","71
(2)","72
(2)","72
(2)","70
(2)"
Humidity(%),72%,69%,68%,66%,67%,67%,65%,69%,69%,70%,74%,73%
Rainy days (d),8,6,7,8,9,8,8,8,6,7,7,8
avg. Sun hours (hours),4.1,5.2,6.8,8.4,10.0,11.1,11.4,9.9,8.4,6.8,5.2,3.7
