0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
Avg. Temperature °C (°F),"22.8 °C
(73.1) °F","22.6 °C
(72.6) °F","20.8 °C
(69.5) °F","17.9 °C
(64.2) °F","14.7 °C
(58.4) °F","12 °C
(53.5) °F","10.8 °C
(51.5) °F","12 °C
(53.6) °F","13.3 °C
(55.9) °F","15.9 °C
(60.6) °F","18.6 °C
(65.5) °F","21.1 °C
(69.9) °F"
Min. Temperature °C (°F),"20.1 °C
(68.2) °F","20.2 °C
(68.3) °F","18.5 °C
(65.3) °F","15.8 °C
(60.4) °F","12.8 °C
(55.1) °F","10.1 °C
(50.2) °F","8.9 °C
(48) °F","9.8 °C
(49.6) °F","11 °C
(51.9) °F","13.5 °C
(56.3) °F","15.8 °C
(60.4) °F","18.2 °C
(64.8) °F"
Max. Temperature °C (°F),"25.8 °C
(78.4) °F","25.2 °C
(77.4) °F","23.4 °C
(74.1) °F","20.4 °C
(68.7) °F","16.9 °C
(62.3) °F","14.3 °C
(57.7) °F","13.2 °C
(55.8) °F","14.8 °C
(58.6) °F","15.9 °C
(60.7) °F","18.6 °C
(65.5) °F","21.6 °C
(70.9) °F","24.1 °C
(75.5) °F"
Precipitation / Rainfall mm (in),"70
(2)","99
(3)","103
(4)","111
(4)","93
(3)","91
(3)","98
(3)","100
(3)","96
(3)","117
(4)","107
(4)","78
(3)"
Humidity(%),69%,72%,74%,73%,76%,78%,78%,78%,75%,76%,71%,69%
Rainy days (d),5,6,6,7,6,7,7,6,6,7,6,5
avg. Sun hours (hours),11.2,10.1,8.7,7.7,6.5,6.3,6.4,7.1,7.5,8.5,10.4,11.2
